,dataset_id,hyperparameter_name,hyperparameter_value,seed,error_rate,runtime
324,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,5,0.0058,3314.0
325,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,7,0.0062,4535.0
326,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,0,0.0047,2980.0
327,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,4,0.0061,3357.0
328,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,3,0.0068,3261.0
329,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.04,9,0.0034,4176.0
330,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,2,0.0155,3530.0
331,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,8,0.0062,2980.0
332,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,5,0.0058,3678.0
333,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,1,0.0094,4618.0
334,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,6,0.0074,5873.0
335,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,4,0.006,3446.0
336,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,9,0.0034,4517.0
337,3,MAX_ESTIMATE_MARGIN_FOR_FULL_EVALUATION,0.1,3,0.0068,3229.0
